,model_id,model,d_model,e_layers,seq_len,pred_len,c_out,batch_size,buffer_size,lr,sample_type,eq,edq,ep
871,itf_dm48_el1_sl40_pl1_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,40,1,4,32,128,0.0001,log,1.3263718276479593e-05,2.2346358242507185e-06,0.000325613462545641
895,itf_dm48_el1_sl40_pl1_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,40,1,4,128,200,0.0001,log,1.3331970813207545e-05,2.0942012036477206e-06,0.000329356132697145
291,itf_dm48_el1_sl10_pl1_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,10,1,4,16,128,0.0001,log,1.3065186916353365e-05,1.8673915534359563e-06,0.0003336725886354609
1007,itf_dm48_el1_sl40_pl3_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,40,3,4,128,500,0.0001,log,1.2619616009294202e-05,1.517424284640332e-06,0.00033368448777055203
99,itf_dm48_el1_sl5_pl3_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,5,3,4,16,128,0.0001,log,1.2764002764102873e-05,1.677913683306373e-06,0.0003339928836254932
431,itf_dm48_el1_sl10_pl3_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,10,3,4,128,500,0.0001,log,1.1700678608032031e-05,1.896249056204842e-06,0.0003347689280599893
891,itf_dm48_el1_sl40_pl1_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,40,1,4,64,200,0.0001,log,1.2818845947232293e-05,1.189450046850879e-07,0.0003352773863099424
1003,itf_dm48_el1_sl40_pl3_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,40,3,4,64,500,0.0001,log,1.2530176706196622e-05,-6.552687362593873e-08,0.0003352808263312896
1103,itf_dm48_el1_sl40_pl8_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,40,8,4,128,500,0.0001,log,1.2054858417229338e-05,4.936214711673444e-07,0.0003355638463064605
711,itf_dm48_el1_sl20_pl3_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,20,3,4,32,500,0.0001,log,1.3097860216671115e-05,2.5753256189392504e-07,0.00033571045162724994
427,itf_dm48_el1_sl10_pl3_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,10,3,4,64,500,0.0001,log,1.259623429591722e-05,6.850489315140575e-07,0.0003357383426081391
523,itf_dm48_el1_sl10_pl8_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,10,8,4,64,500,0.0001,log,1.2831450367225866e-05,1.3653748704863487e-06,0.0003359562622285289
19,itf_dm48_el1_sl5_pl1_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,5,1,4,16,200,0.0001,log,1.2828129426782544e-05,1.6735172667522134e-06,0.0003359583618878392
335,itf_dm48_el1_sl10_pl1_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,10,1,4,128,500,0.0001,log,1.1774335474875838e-05,5.15089857253126e-07,0.0003360633701246385
867,itf_dm48_el1_sl40_pl1_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,40,1,4,16,128,0.0001,log,1.336648602062344e-05,2.929109461854984e-07,0.0003361235516424657
603,itf_dm48_el1_sl20_pl1_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,20,1,4,64,200,0.0001,log,1.323358210176081e-05,3.8320097330880876e-07,0.0003363249529253481
811,itf_dm48_el1_sl20_pl8_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,20,8,4,64,500,0.0001,log,1.2137739935599238e-05,9.679547513792401e-07,0.00033659039193512303
47,itf_dm48_el1_sl5_pl1_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,5,1,4,128,500,0.0001,log,1.2098984277700677e-05,9.201081018362506e-07,0.0003367286799416952
623,itf_dm48_el1_sl20_pl1_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,20,1,4,128,500,0.0001,log,1.2420080511890415e-05,3.9974633468057436e-07,0.0003368566151018422
635,itf_dm48_el1_sl20_pl1_co4_bs64_bfs1000_lr0.0001_stlog,itf,48,1,20,1,4,64,1000,0.0001,log,1.2769152934179195e-05,-6.405080931956575e-08,0.00033723520912483926
195,itf_dm48_el1_sl5_pl8_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,5,8,4,16,128,0.0001,log,1.2814312386937867e-05,1.5579135169709567e-06,0.0003373118434040171
139,itf_dm48_el1_sl5_pl3_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,5,3,4,64,500,0.0001,log,1.2220621292576212e-05,1.520866014549649e-08,0.00033739131054731517
943,itf_dm48_el1_sl40_pl1_co4_bs128_bfs2000_lr0.0001_stlog,itf,48,1,40,1,4,128,2000,0.0001,log,1.301296640307992e-05,-3.325727692968586e-07,0.0003374584170712475
1095,itf_dm48_el1_sl40_pl8_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,40,8,4,32,500,0.0001,log,1.2610445154642182e-05,6.470754493406727e-07,0.000337853878458472
7,itf_dm48_el1_sl5_pl1_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,5,1,4,32,128,0.0001,log,1.3119860350767809e-05,7.79677742037202e-07,0.0003380720917152667
391,itf_dm48_el1_sl10_pl3_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,10,3,4,32,128,0.0001,log,1.2947439785617452e-05,1.270259235153573e-06,0.000338177385722198
699,itf_dm48_el1_sl20_pl3_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,20,3,4,64,200,0.0001,log,1.278280483321746e-05,2.3181795372586092e-07,0.00033828176429307046
911,itf_dm48_el1_sl40_pl1_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,40,1,4,128,500,0.0001,log,1.2768194823369484e-05,-6.073626177128914e-07,0.0003385731481253829
675,itf_dm48_el1_sl20_pl3_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,20,3,4,16,128,0.0001,log,1.2877895073532279e-05,8.854147160669915e-07,0.0003387830697233468
771,itf_dm48_el1_sl20_pl8_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,20,8,4,16,128,0.0001,log,1.2640491175077784e-05,9.004716091348501e-07,0.0003389557058155809
607,itf_dm48_el1_sl20_pl1_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,20,1,4,128,200,0.0001,log,1.305421303169973e-05,8.386772360128962e-07,0.00033898352268167247
611,itf_dm48_el1_sl20_pl1_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,20,1,4,16,500,0.0001,log,1.2919988525125217e-05,-3.912660451054102e-07,0.0003391376029877876
803,itf_dm48_el1_sl20_pl8_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,20,8,4,16,500,0.0001,log,1.233679159676665e-05,8.374708476027205e-07,0.0003391707810877062
135,itf_dm48_el1_sl5_pl3_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,5,3,4,32,500,0.0001,log,1.2284754139165062e-05,3.798032873650152e-07,0.0003392522263285059
779,itf_dm48_el1_sl20_pl8_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,20,8,4,64,128,0.0001,log,1.2764623899014335e-05,9.947213320976069e-07,0.0003392727718220369
423,itf_dm48_el1_sl10_pl3_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,10,3,4,32,500,0.0001,log,1.2323393293902827e-05,1.0137727632321056e-07,0.0003394754315988391
115,itf_dm48_el1_sl5_pl3_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,5,3,4,16,200,0.0001,log,1.2684327624617867e-05,5.322221279615603e-07,0.00033951253125340686
1091,itf_dm48_el1_sl40_pl8_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,40,8,4,16,500,0.0001,log,1.2574549644440265e-05,-1.0841394104720362e-07,0.0003397454526866949
1023,itf_dm48_el1_sl40_pl3_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,40,3,4,128,1000,0.0001,log,1.235012315255505e-05,-7.928344182965043e-07,0.0003400174703650554
827,itf_dm48_el1_sl20_pl8_co4_bs64_bfs1000_lr0.0001_stlog,itf,48,1,20,8,4,64,1000,0.0001,log,1.2662125024172691e-05,-1.3541749229080413e-07,0.00034012675239951954
351,itf_dm48_el1_sl10_pl1_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,10,1,4,128,1000,0.0001,log,1.2165746617368804e-05,-7.715748862116567e-07,0.00034018774471106624
43,itf_dm48_el1_sl5_pl1_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,5,1,4,64,500,0.0001,log,1.2481979613643897e-05,-1.0118095318508227e-06,0.0003403145066447796
1075,itf_dm48_el1_sl40_pl8_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,40,8,4,16,200,0.0001,log,1.2458659808480064e-05,3.8924136091036954e-07,0.00034052756908470837
103,itf_dm48_el1_sl5_pl3_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,5,3,4,32,128,0.0001,log,1.3042743167893762e-05,1.1218335227367038e-06,0.0003405848475993704
655,itf_dm48_el1_sl20_pl1_co4_bs128_bfs2000_lr0.0001_stlog,itf,48,1,20,1,4,128,2000,0.0001,log,1.2720321098303085e-05,1.66045640175895e-08,0.0003406001036800409
719,itf_dm48_el1_sl20_pl3_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,20,3,4,128,500,0.0001,log,1.194825543984106e-05,-4.3314856360606585e-07,0.0003406389003787419
395,itf_dm48_el1_sl10_pl3_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,10,3,4,64,128,0.0001,log,1.2601744513347454e-05,8.180789838091625e-07,0.0003409245777123666
231,itf_dm48_el1_sl5_pl8_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,5,8,4,32,500,0.0001,log,1.2554772960008027e-05,1.011356255770958e-06,0.0003410040757753876
903,itf_dm48_el1_sl40_pl1_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,40,1,4,32,500,0.0001,log,1.2689939122992832e-05,-9.802294991673177e-07,0.00034109453184937624
691,itf_dm48_el1_sl20_pl3_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,20,3,4,16,200,0.0001,log,1.3329648384478182e-05,9.001767137251093e-08,0.0003411368420534576
386,itf_dm48_el1_sl10_pl3_co4_bs16_bfs128_lr0.001_stlog,itf,48,1,10,3,4,16,128,0.001,log,1.3591410179977954e-05,-1.4215588269358287e-06,0.00034127968040952624
991,itf_dm48_el1_sl40_pl3_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,40,3,4,128,200,0.0001,log,1.2820515680378908e-05,1.7783047091476933e-07,0.00034133178620914483
515,itf_dm48_el1_sl10_pl8_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,10,8,4,16,500,0.0001,log,1.2657770149415444e-05,5.61869627519352e-07,0.0003413778958670922
707,itf_dm48_el1_sl20_pl3_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,20,3,4,16,500,0.0001,log,1.2814881827517193e-05,-8.836163522957241e-07,0.00034142244575000665
1099,itf_dm48_el1_sl40_pl8_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,40,8,4,64,500,0.0001,log,1.2632220389167308e-05,1.9071045394411165e-07,0.00034149474567267743
483,itf_dm48_el1_sl10_pl8_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,10,8,4,16,128,0.0001,log,1.2740570806062373e-05,-1.47527350567115e-07,0.00034150408380764763
923,itf_dm48_el1_sl40_pl1_co4_bs64_bfs1000_lr0.0001_stlog,itf,48,1,40,1,4,64,1000,0.0001,log,1.2537117970736064e-05,-1.6855200770460668e-06,0.0003415808799359057
815,itf_dm48_el1_sl20_pl8_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,20,8,4,128,500,0.0001,log,1.1879008388469077e-05,2.0815727414620275e-07,0.0003417897984673665
995,itf_dm48_el1_sl40_pl3_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,40,3,4,16,500,0.0001,log,1.2484602331217344e-05,-1.4835432243644024e-06,0.00034192151196499814
735,itf_dm48_el1_sl20_pl3_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,20,3,4,128,1000,0.0001,log,1.2332546320851883e-05,-5.692615937728622e-07,0.0003420080525252439
203,itf_dm48_el1_sl5_pl8_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,5,8,4,64,128,0.0001,log,1.2308534683524986e-05,5.148103222173822e-07,0.00034203432637993947
143,itf_dm48_el1_sl5_pl3_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,5,3,4,128,500,0.0001,log,1.1431795679213387e-05,5.614150977071262e-07,0.0003422436415111923
715,itf_dm48_el1_sl20_pl3_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,20,3,4,64,500,0.0001,log,1.3089246642656043e-05,-4.7520473100319885e-07,0.00034232298453703696
1019,itf_dm48_el1_sl40_pl3_co4_bs64_bfs1000_lr0.0001_stlog,itf,48,1,40,3,4,64,1000,0.0001,log,1.25925531811327e-05,-1.335104918954045e-06,0.00034256512325354937
319,itf_dm48_el1_sl10_pl1_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,10,1,4,128,200,0.0001,log,1.2495030821945427e-05,3.597404046457031e-07,0.00034265703705349537
539,itf_dm48_el1_sl10_pl8_co4_bs64_bfs1000_lr0.0001_stlog,itf,48,1,10,8,4,64,1000,0.0001,log,1.2311944233876727e-05,2.0480662348476217e-07,0.00034267927153137787
487,itf_dm48_el1_sl10_pl8_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,10,8,4,32,128,0.0001,log,1.2715082484611104e-05,-3.498999349245066e-07,0.00034280154541131794
491,itf_dm48_el1_sl10_pl8_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,10,8,4,64,128,0.0001,log,1.2164258342166453e-05,2.102006555920223e-07,0.0003428164973636941
215,itf_dm48_el1_sl5_pl8_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,5,8,4,32,200,0.0001,log,1.2646446832934532e-05,5.495525751400207e-07,0.0003428285706054265
227,itf_dm48_el1_sl5_pl8_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,5,8,4,16,500,0.0001,log,1.1417374093919636e-05,-1.5890725576801074e-07,0.0003428572134312387
331,itf_dm48_el1_sl10_pl1_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,10,1,4,64,500,0.0001,log,1.2888025197727168e-05,-1.3273802554080762e-06,0.0003429456342825712
411,itf_dm48_el1_sl10_pl3_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,10,3,4,64,200,0.0001,log,1.3066394356524215e-05,-4.4426424769539175e-07,0.0003429941325385515
3,itf_dm48_el1_sl5_pl1_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,5,1,4,16,128,0.0001,log,1.3288761968004669e-05,-3.4067140285446926e-07,0.00034329551838201334
119,itf_dm48_el1_sl5_pl3_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,5,3,4,32,200,0.0001,log,1.2854215713702078e-05,2.0948599116239058e-07,0.0003433534476779733
11,itf_dm48_el1_sl5_pl1_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,5,1,4,64,128,0.0001,log,1.3125418108680064e-05,2.137640949793386e-07,0.0003433543596442422
1119,itf_dm48_el1_sl40_pl8_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,40,8,4,128,1000,0.0001,log,1.161539295678433e-05,-7.036551472995936e-07,0.0003433796477748442
27,itf_dm48_el1_sl5_pl1_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,5,1,4,64,200,0.0001,log,1.2541315313278987e-05,6.613941841335756e-07,0.00034344143049292087
211,itf_dm48_el1_sl5_pl8_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,5,8,4,16,200,0.0001,log,1.2213802371499063e-05,1.980200067014555e-07,0.00034358421901542187
59,itf_dm48_el1_sl5_pl1_co4_bs64_bfs1000_lr0.0001_stlog,itf,48,1,5,1,4,64,1000,0.0001,log,1.2717081697721701e-05,-1.5411737062107425e-06,0.00034362650624656407
751,itf_dm48_el1_sl20_pl3_co4_bs128_bfs2000_lr0.0001_stlog,itf,48,1,20,3,4,128,2000,0.0001,log,1.239313943834599e-05,-4.368043600823726e-07,0.00034366085376228946
823,itf_dm48_el1_sl20_pl8_co4_bs32_bfs1000_lr0.0001_stlog,itf,48,1,20,8,4,32,1000,0.0001,log,1.2259731484525924e-05,-4.4738906695724473e-07,0.00034371095788526606
295,itf_dm48_el1_sl10_pl1_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,10,1,4,32,128,0.0001,log,1.3237969511000272e-05,-4.808669645172889e-07,0.00034374729008964934
1135,itf_dm48_el1_sl40_pl8_co4_bs128_bfs2000_lr0.0001_stlog,itf,48,1,40,8,4,128,2000,0.0001,log,1.251155858372191e-05,-4.385151362194459e-07,0.0003437573770908856
1087,itf_dm48_el1_sl40_pl8_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,40,8,4,128,200,0.0001,log,1.2633621591372083e-05,2.534246857279626e-07,0.0003439078818679376
219,itf_dm48_el1_sl5_pl8_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,5,8,4,64,200,0.0001,log,1.2562347947937152e-05,3.16943688185526e-07,0.00034393715643765287
927,itf_dm48_el1_sl40_pl1_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,40,1,4,128,1000,0.0001,log,1.243183502494218e-05,-1.8974085567316848e-06,0.0003442090435159139
507,itf_dm48_el1_sl10_pl8_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,10,8,4,64,200,0.0001,log,1.2368845574682553e-05,2.3845635388226177e-07,0.0003442098919570595
775,itf_dm48_el1_sl20_pl8_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,20,8,4,32,128,0.0001,log,1.3111129585754728e-05,-2.2326615425807134e-07,0.00034440686671427393
583,itf_dm48_el1_sl20_pl1_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,20,1,4,32,128,0.0001,log,1.3090283876094776e-05,-9.354141511917248e-07,0.0003444800602206928
403,itf_dm48_el1_sl10_pl3_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,10,3,4,16,200,0.0001,log,1.2582733914789153e-05,-3.473015382110013e-07,0.0003445320230529695
415,itf_dm48_el1_sl10_pl3_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,10,3,4,128,200,0.0001,log,1.2426235871880193e-05,5.272173648385343e-07,0.00034461360348587305
983,itf_dm48_el1_sl40_pl3_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,40,3,4,32,200,0.0001,log,1.3153073011383954e-05,-1.2964031800852607e-06,0.00034475938168524264
683,itf_dm48_el1_sl20_pl3_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,20,3,4,64,128,0.0001,log,1.3054798063344875e-05,-6.533375330472838e-07,0.000344776246514611
39,itf_dm48_el1_sl5_pl1_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,5,1,4,32,500,0.0001,log,1.2537364495219291e-05,-1.6075474577733825e-06,0.0003448277508141262
407,itf_dm48_el1_sl10_pl3_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,10,3,4,32,200,0.0001,log,1.2914858529934148e-05,5.052999665980384e-07,0.0003448447736460157
123,itf_dm48_el1_sl5_pl3_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,5,3,4,64,200,0.0001,log,1.2588078817244732e-05,5.346444748944093e-07,0.00034487029538866215
1079,itf_dm48_el1_sl40_pl8_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,40,8,4,32,200,0.0001,log,1.3076294174351702e-05,-4.921760568274772e-07,0.00034487313989815593
963,itf_dm48_el1_sl40_pl3_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,40,3,4,16,128,0.0001,log,1.3097671648180649e-05,-1.576311452502338e-06,0.00034512234354194766
79,itf_dm48_el1_sl5_pl1_co4_bs128_bfs2000_lr0.0001_stlog,itf,48,1,5,1,4,128,2000,0.0001,log,1.1935479760194923e-05,-9.769187477005024e-07,0.00034513235089697077
799,itf_dm48_el1_sl20_pl8_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,20,8,4,128,200,0.0001,log,1.231197740354708e-05,-3.6856413063082044e-07,0.0003452676243293962
979,itf_dm48_el1_sl40_pl3_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,40,3,4,16,200,0.0001,log,1.3228011537310823e-05,-1.4769139404383416e-06,0.000345272324704428
679,itf_dm48_el1_sl20_pl3_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,20,3,4,32,128,0.0001,log,1.3162226681934447e-05,-7.690230823232357e-07,0.00034536214695109045
387,itf_dm48_el1_sl10_pl3_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,10,3,4,16,128,0.0001,log,1.262224030172622e-05,-6.385146974624556e-07,0.00034538116548309925
323,itf_dm48_el1_sl10_pl1_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,10,1,4,16,500,0.0001,log,1.2344283752842744e-05,-1.7425973343424689e-06,0.0003454653953688147
159,itf_dm48_el1_sl5_pl3_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,5,3,4,128,1000,0.0001,log,1.0792318088602578e-05,-6.942208288012938e-07,0.0003455667601139462
247,itf_dm48_el1_sl5_pl8_co4_bs32_bfs1000_lr0.0001_stlog,itf,48,1,5,8,4,32,1000,0.0001,log,1.1405112813653252e-05,-3.866833790762067e-07,0.0003455716891538417
503,itf_dm48_el1_sl10_pl8_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,10,8,4,32,200,0.0001,log,1.2903800245702259e-05,-8.489403703999462e-07,0.00034559202290468215
199,itf_dm48_el1_sl5_pl8_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,5,8,4,32,128,0.0001,log,1.2923331414441055e-05,-1.196301252056036e-06,0.00034560764635926646
967,itf_dm48_el1_sl40_pl3_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,40,3,4,32,128,0.0001,log,1.3042803222385795e-05,-1.2080017998336579e-06,0.00034597695691547737
367,itf_dm48_el1_sl10_pl1_co4_bs128_bfs2000_lr0.0001_stlog,itf,48,1,10,1,4,128,2000,0.0001,log,1.2224936457006094e-05,-1.4311668556062432e-06,0.0003459985178019903
595,itf_dm48_el1_sl20_pl1_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,20,1,4,16,200,0.0001,log,1.338087450496406e-05,-1.6327532829881787e-06,0.0003460224826188478
419,itf_dm48_el1_sl10_pl3_co4_bs16_bfs500_lr0.0001_stlog,itf,48,1,10,3,4,16,500,0.0001,log,1.2506496157456881e-05,-1.165951008620398e-06,0.0003460258796288051
695,itf_dm48_el1_sl20_pl3_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,20,3,4,32,200,0.0001,log,1.2819367154656952e-05,-8.405698883533035e-07,0.000346034619140624
499,itf_dm48_el1_sl10_pl8_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,10,8,4,16,200,0.0001,log,1.2759870352822519e-05,-3.494495296949007e-08,0.00034603976837240344
519,itf_dm48_el1_sl10_pl8_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,10,8,4,32,500,0.0001,log,1.241912393143207e-05,-1.1251476222285013e-06,0.0003460996371446388
127,itf_dm48_el1_sl5_pl3_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,5,3,4,128,200,0.0001,log,1.1960893763360346e-05,7.021019578254233e-07,0.0003461558979160235
555,itf_dm48_el1_sl10_pl8_co4_bs64_bfs2000_lr0.0001_stlog,itf,48,1,10,8,4,64,2000,0.0001,log,1.3040545156382409e-05,-4.6242930877050947e-07,0.0003463046527742597
91,itf_dm48_el1_sl5_pl1_co4_bs64_bfs4000_lr0.0001_stlog,itf,48,1,5,1,4,64,4000,0.0001,log,1.2389599853017538e-05,-2.2604204092556077e-06,0.0003465699788243182
287,itf_dm48_el1_sl5_pl8_co4_bs128_bfs4000_lr0.0001_stlog,itf,48,1,5,8,4,128,4000,0.0001,log,1.176600244675544e-05,-1.3128076947308172e-06,0.0003466364812191421
239,itf_dm48_el1_sl5_pl8_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,5,8,4,128,500,0.0001,log,1.1262265789571018e-05,-2.853452291738494e-07,0.00034665842402959015
1055,itf_dm48_el1_sl40_pl3_co4_bs128_bfs4000_lr0.0001_stlog,itf,48,1,40,3,4,128,4000,0.0001,log,1.2555240073935697e-05,-2.00244113080731e-06,0.00034665915631097553
447,itf_dm48_el1_sl10_pl3_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,10,3,4,128,1000,0.0001,log,1.127388694630141e-05,-1.5140465079600124e-06,0.0003466994305134002
1131,itf_dm48_el1_sl40_pl8_co4_bs64_bfs2000_lr0.0001_stlog,itf,48,1,40,8,4,64,2000,0.0001,log,1.2553338151977827e-05,-1.6157232995014058e-06,0.00034676538006507356
267,itf_dm48_el1_sl5_pl8_co4_bs64_bfs2000_lr0.0001_stlog,itf,48,1,5,8,4,64,2000,0.0001,log,1.259582498084515e-05,-1.9050061514933395e-07,0.00034687736010012446
63,itf_dm48_el1_sl5_pl1_co4_bs128_bfs1000_lr0.0001_stlog,itf,48,1,5,1,4,128,1000,0.0001,log,1.1849440812987703e-05,-2.0877031696089204e-06,0.00034715429840891093
107,itf_dm48_el1_sl5_pl3_co4_bs64_bfs128_lr0.0001_stlog,itf,48,1,5,3,4,64,128,0.0001,log,1.2319064826685092e-05,-4.1663204764993966e-07,0.00034722657129087085
727,itf_dm48_el1_sl20_pl3_co4_bs32_bfs1000_lr0.0001_stlog,itf,48,1,20,3,4,32,1000,0.0001,log,1.2677323375277782e-05,-2.267295199155292e-06,0.00034724991714369014
511,itf_dm48_el1_sl10_pl8_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,10,8,4,128,200,0.0001,log,1.1953777923562141e-05,2.9740220130287584e-07,0.0003473303732694182
223,itf_dm48_el1_sl5_pl8_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,5,8,4,128,200,0.0001,log,1.1876398610550132e-05,3.56151655836294e-08,0.0003474250376654963
535,itf_dm48_el1_sl10_pl8_co4_bs32_bfs1000_lr0.0001_stlog,itf,48,1,10,8,4,32,1000,0.0001,log,1.1822137837995612e-05,-7.811830429688485e-07,0.0003474588099698559
283,itf_dm48_el1_sl5_pl8_co4_bs64_bfs4000_lr0.0001_stlog,itf,48,1,5,8,4,64,4000,0.0001,log,1.2314588153996783e-05,-1.209994898062651e-06,0.00034756817138236634
687,itf_dm48_el1_sl20_pl3_co4_bs128_bfs128_lr0.0001_stlog,itf,48,1,20,3,4,128,128,0.0001,log,1.2690646673114514e-05,-6.238934237073543e-08,0.00034762703843483657
795,itf_dm48_el1_sl20_pl8_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,20,8,4,64,200,0.0001,log,1.247254315901421e-05,-8.189215737765786e-07,0.00034764001240539726
839,itf_dm48_el1_sl20_pl8_co4_bs32_bfs2000_lr0.0001_stlog,itf,48,1,20,8,4,32,2000,0.0001,log,1.2338584359446116e-05,-7.048618030679535e-07,0.0003476713574329224
791,itf_dm48_el1_sl20_pl8_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,20,8,4,32,200,0.0001,log,1.2863807104922015e-05,-1.1597515789936279e-06,0.00034767660776871903
311,itf_dm48_el1_sl10_pl1_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,10,1,4,32,200,0.0001,log,1.3261870603431178e-05,-1.455566026612766e-06,0.00034783626707921966
399,itf_dm48_el1_sl10_pl3_co4_bs128_bfs128_lr0.0001_stlog,itf,48,1,10,3,4,128,128,0.0001,log,1.1867104695145768e-05,-3.484289912889481e-07,0.0003483909172600762
