,model_id,model,d_model,e_layers,seq_len,pred_len,c_out,batch_size,buffer_size,lr,sample_type,eq,edq,ep
442,itf_dm48_el1_sl10_pl3_co4_bs64_bfs1000_lr0.001_stlog,itf,48,1,10,3,4,64,1000,0.001,log,1.2888197284446337e-05,-6.101780422797503e-05,0.0005445397841917588
58,itf_dm48_el1_sl5_pl1_co4_bs64_bfs1000_lr0.001_stlog,itf,48,1,5,1,4,64,1000,0.001,log,1.3100075922413369e-05,-6.2492364427757e-05,0.0005449049917097013
305,itf_dm48_el1_sl10_pl1_co4_bs16_bfs200_lr0.01_stlog,itf,48,1,10,1,4,16,200,0.01,log,1.2261134779754154e-05,-6.281116747122251e-05,0.0005449783891520771
1100,itf_dm48_el1_sl40_pl8_co4_bs128_bfs500_lr0.05_stlog,itf,48,1,40,8,4,128,500,0.05,log,1.2555195835040923e-05,-5.625942336130946e-05,0.0005451461936386898
682,itf_dm48_el1_sl20_pl3_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,20,3,4,64,128,0.001,log,1.3320183949790175e-05,-5.964491482070462e-05,0.0005451580312241143
924,itf_dm48_el1_sl40_pl1_co4_bs128_bfs1000_lr0.05_stlog,itf,48,1,40,1,4,128,1000,0.05,log,1.2431644592789874e-05,-6.00293858873998e-05,0.0005452015655205228
162,itf_dm48_el1_sl5_pl3_co4_bs16_bfs2000_lr0.001_stlog,itf,48,1,5,3,4,16,2000,0.001,log,1.2966910940939431e-05,-6.324814381289097e-05,0.0005454525590370139
422,itf_dm48_el1_sl10_pl3_co4_bs32_bfs500_lr0.001_stlog,itf,48,1,10,3,4,32,500,0.001,log,1.320244283376697e-05,-6.469699891543381e-05,0.0005455136189665638
765,itf_dm48_el1_sl20_pl3_co4_bs128_bfs4000_lr0.01_stlog,itf,48,1,20,3,4,128,4000,0.01,log,1.3608969265056531e-05,-6.454726507299034e-05,0.0005455712340771168
434,itf_dm48_el1_sl10_pl3_co4_bs16_bfs1000_lr0.001_stlog,itf,48,1,10,3,4,16,1000,0.001,log,1.2714329592527465e-05,-6.195154747941833e-05,0.0005463483634715306
717,itf_dm48_el1_sl20_pl3_co4_bs128_bfs500_lr0.01_stlog,itf,48,1,20,3,4,128,500,0.01,log,1.3125275415364946e-05,-6.18584849280371e-05,0.0005464704381040332
946,itf_dm48_el1_sl40_pl1_co4_bs16_bfs4000_lr0.001_stlog,itf,48,1,40,1,4,16,4000,0.001,log,1.3734407094982291e-05,-6.066060098505353e-05,0.0005465785072208022
258,itf_dm48_el1_sl5_pl8_co4_bs16_bfs2000_lr0.001_stlog,itf,48,1,5,8,4,16,2000,0.001,log,1.3029331365658505e-05,-6.193031827614846e-05,0.0005466352755890505
722,itf_dm48_el1_sl20_pl3_co4_bs16_bfs1000_lr0.001_stlog,itf,48,1,20,3,4,16,1000,0.001,log,1.2632358001645524e-05,-6.28484635536628e-05,0.000547042687413769
998,itf_dm48_el1_sl40_pl3_co4_bs32_bfs500_lr0.001_stlog,itf,48,1,40,3,4,32,500,0.001,log,1.3684558398009445e-05,-6.214402829103887e-05,0.0005473194114148947
930,itf_dm48_el1_sl40_pl1_co4_bs16_bfs2000_lr0.001_stlog,itf,48,1,40,1,4,16,2000,0.001,log,1.3330433629235095e-05,-6.300717693704782e-05,0.0005476536654099176
698,itf_dm48_el1_sl20_pl3_co4_bs64_bfs200_lr0.001_stlog,itf,48,1,20,3,4,64,200,0.001,log,1.3259828536065551e-05,-6.322467866588972e-05,0.000547705829180695
